ZONE,DISTRICT,SD,COUNTY,TOTHH,HHPOP,TOTPOP,EMPRES,SFDU,MFDU,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,TOTACRE,RESACRE,CIACRE,SHPOP62P,TOTEMP,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,AREATYPE,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,ZERO,hhlds,sftaz,gqpop
528,11,11,3,2584,6061,6072,2866,1472,1112,772,574,592,646,467,420,24,0.19,1797,351,835,2243,1698,945,278,755,554,127,1,82,0,0,4,0,0,0,3,1.30599,0,2584,528,11
529,11,11,3,1168,2620,2626,928,869,299,374,220,252,322,361,323,38,0.36,1005,109,321,512,826,858,140,342,168,135,14,206,0,0,4,0,0,0,3,1.14183,0,1168,529,6
530,11,11,3,3224,6827,6848,3333,1131,2093,906,746,989,583,630,414,123,0.17,6874,332,847,3016,1687,966,937,2187,1303,1545,90,812,0,0,3,0,0,0,3,1.6659,0,3224,530,21
531,11,11,3,1379,2739,2870,1386,759,620,359,310,361,349,273,241,32,0.22,2688,145,319,1058,805,543,481,939,751,284,38,195,0,0,3,0,0,0,2,1.50061,0,1379,531,131
532,11,11,3,2670,6131,6260,2844,490,2180,1088,861,478,243,236,188,47,0.16,340,360,895,2785,1348,872,34,136,124,2,1,43,0,0,3,0,0,0,3,1.41694,0,2670,532,129
533,11,11,3,2599,7263,7469,3277,1011,1588,893,752,656,298,447,244,203,0.13,2670,603,1421,3117,1539,789,82,825,1432,167,1,163,0,0,3,1738.80664,1632.271,6665.25488,3,1.44075,0,2599,533,206
534,11,11,3,1908,4646,4798,2219,1030,878,607,378,496,427,475,354,71,0.2,4671,280,754,1733,1202,829,107,585,3465,381,5,128,0,0,3,0,0,0,3,1.56307,0,1908,534,152
535,11,11,3,1970,5015,5023,2159,1202,768,964,425,398,183,331,190,77,0.16,1438,352,945,1914,1149,663,138,305,784,98,0,113,0,0,4,0,0,0,3,1.45165,0,1970,535,8
536,11,11,3,1534,4863,4887,1843,723,811,792,409,223,110,230,139,25,0.09,927,428,1138,2039,937,345,174,259,353,52,2,87,0,0,4,0,0,0,3,1.65174,0,1534,536,24
537,11,11,3,2108,4648,4670,1818,535,1573,1216,479,277,136,410,85,259,0.19,3738,352,820,1736,979,783,329,1272,871,561,2,703,0,0,4,0,0,0,3,1.59699,0,2108,537,22
538,11,11,3,834,1956,2119,1024,520,314,411,213,142,68,164.2,117,40,0.12,1782,166,420,858,463,212,48,375,445,549,1,364,0,0,3,0,0,0,3,1.61642,0,834,538,163
539,11,11,3,398,931,1009,488,247,151,195,102,68,33,508.10001,76,359,0.12,3618,79,200,408,221,101,98,762,903,1114,2,739,0,0,3,0,0,0,3,1.29429,0,398,539,78
540,11,11,3,2073,4519,4586,2169,1193,880,660,397,404,612,329,228,87,0.17,5411,239,592,1891,1225,639,104,1929,1950,1101,8,319,0,0,3,0,0,0,3,1.88481,0,2073,540,67
541,11,11,3,1979,5056,5275,2006,1585,394,660,393,415,511,531,328,174,0.26,3126,304,766,1532,1464,1209,388,458,2006,89,28,157,0,0,4,1921.34827,0,0,3,1.34517,0,1979,541,219
542,11,11,3,950,2286,2369,1143,469,481,360,226,188,176,252,189,48,0.14,1974,163,359,944,639,264,120,943,549,309,1,52,0,0,4,1605.93506,0,0,3,1.42661,0,950,542,83
543,11,11,3,1466,3487,4849,2813,942,524,525,363,289,289,369,162,192,0.08,2964,168,1600,2014,786,281,107,652,493,916,3,793,0,0,4,0,0,0,3,1.49205,0,1466,543,1362
544,11,11,3,2281,5663,5709,2724,1114,1167,950,504,493,334,391,256,74,0.16,758,275,710,2694,1265,765,96,211,318,102,4,27,0,0,4,0,0,0,3,1.29308,0,2281,544,46
545,11,11,3,1254,2835,3880,1624,451,803,667,237,245,105,236,162,58,0.15,2639,130,1009,1606,642,493,176,678,1183,412,6,184,0,0,4,0,5249.38037,1902.75916,3,1.71519,0,1254,545,1045
546,11,11,3,1999,4209,5834,2161,943,1056,907,485,349,258,470,161,200,0.12,11828,252,1067,2783,1178,554,164,3438,896,6920,3,407,25.68624,158.22723,2,0,0,0,3,3.62472,0,1999,546,1625
547,11,11,3,2078,6271,6338,2586,1429,649,991,518,449,120,475,261,196,0.15,4797,511,1461,2215,1367,784,261,1136,681,1794,19,906,0,0,3,0,0,0,3,1.58616,0,2078,547,67
548,11,11,3,3040,8285,8551,3745,1944,1096,1368,650,638,384,455,307,83,0.17,1710,564,1792,3116,1804,1275,120,386,716,277,15,196,0,0,4,0,0,0,3,1.46213,0,3040,548,266
549,11,11,3,1986,4681,4769,1993,289,1697,1279,359,238,110,199,101,87,0.18,4079,314,783,1965,928,779,228,1337,787,1176,5,546,59,100,3,0,0,0,3,3.47302,0,1986,549,88
550,11,11,3,1364,4123,4186,1861,881,483,614,346,280,124,205,180,24,0.12,1403,340,923,1630,884,409,39,154,1044,117,0,49,0,0,3,0,0,0,3,1.545,0,1364,550,63
551,11,11,3,1802,6155,6242,2359,905,897,803,482,396,121,371,223,85,0.12,8763,581,1459,2447,1151,604,154,410,650,7306,0,243,0,0,4,1216.58142,0,0,3,2.46677,0,1802,551,87
552,11,11,3,1135,4278,4278,1480,613,522,562,290,206,77,151,125,14,0.09,340,430,1152,1658,758,280,42,62,25,122,0,89,0,0,3,0,0,0,3,1.5309,0,1135,552,0
553,11,11,3,1086,4507,4547,1610,621,465,454,314,182,136,205,114,18,0.09,326,402,1324,1679,818,324,24,63,237,0,0,2,0,0,3,0,0,0,3,1.59493,0,1086,553,40
554,11,11,3,1348,3394,4153,1932,708,640,564,225,234,325,182,154,25,0.1,862,193,588,2006,1079,287,68,187,424,162,0,21,0,0,3,0,0,0,3,1.50253,0,1348,554,759
555,11,11,3,2476,6623,6854,2837,761,1715,1603,431,266,176,302,165,72,0.07,1399,543,1469,3324,1167,351,59,260,791,171,0,118,0,0,3,622.73596,220.1216,126.84818,3,1.64741,0,2476,555,231
556,11,11,3,629,1552,4523,1462,20,609,386,153,69,21,61,24,37,0.04,250,157,1695,2075,470,126,7,51,130,38,0,24,45,126,1,0,0,0,3,2.26122,0,629,556,2971
557,11,11,3,1911,3626,3722,1601,193,1718,1109,295,291,216,179,21,158,0.14,6352,161,416,1921,777,447,206,984,3572,1323,0,267,45,126,1,0,14694.14648,10430.66602,3,3.37296,0,1911,557,96
558,11,11,3,1305,2579,2600,1324,401,904,782,270,103,150,408,47,233,0.22,20359,114,422,990,569,505,550,9845,3512,4514,18,1920,61,265,1,0,0,0,3,3.881,0,1305,558,21
559,11,11,3,1681,5046,5055,2128,1317,364,555,463,362,301,381,287,48,0.13,564,375,1042,1943,1176,519,22,161,180,76,0,125,0,0,4,0,0,0,3,1.22879,0,1681,559,9
560,11,11,3,1227,4684,4917,1751,611,616,657,235,255,80,254,172,18,0.08,1581,451,1340,2014,785,327,63,813,432,210,0,63,40,126,3,0,0,0,3,3.88442,0,1227,560,233
561,11,11,3,1455,4025,4026,2185,822,633,546,426,270,213,283,91,184,0.09,656,306,875,1880,679,286,115,67,113,68,6,287,0,0,4,0,0,0,3,1.2512,0,1455,561,1
562,11,11,3,1276,4671,4760,1783,714,562,675,285,199,117,170,105,32,0.09,426,451,1337,1800,845,327,33,22,103,235,6,27,0,0,4,0,0,0,3,1.62751,0,1276,562,89
563,11,11,3,4182,10816,11533,4216,1061,3121,2025,1075,786,296,1599,387,932,0.13,18303,754,2196,4554,2827,1202,1733,1949,2492,5924,37,6168,0,0,4,2273.73145,0,0,3,1.64324,0,4182,563,717
