Table 9.  Superdistrict to Superdistrict Trip Summary by Mode - Total Trips,,,,,,,,,,,,
,,,,,,,,,,,,
"Superdistrict 
of Production","Superdistrict 
of Attraction",Vehicle Driver,"Vehicle 
Passenger","Drive 
Alone","Shared 
Ride 2","Shared 
Ride 3+","School 
Bus",Transit,Bike,Walk,Other,"Total 
Modes"
9,22,368,0,305,0,63,0,0,0,0,0,368
9,23,669,332,669,202,130,0,390,0,0,0,"1,391"
9,24,177,46,131,92,0,0,0,0,0,0,223
9,25,50,50,0,100,0,0,0,0,0,0,100
9,26,193,0,139,54,0,0,0,0,0,0,193
9,27,25,0,25,0,0,0,0,0,0,0,25
9,29,54,0,54,0,0,0,0,0,0,0,54
9,30,120,222,120,0,222,0,0,0,0,0,342
9,32,0,45,0,0,45,0,0,0,0,0,45
9,33,71,0,71,0,0,0,0,0,0,0,71
9,34,212,0,0,212,0,0,0,0,0,0,212
10,1,"1,006",83,874,132,83,0,237,0,0,0,"1,326"
10,2,595,265,513,347,0,0,0,0,407,0,"1,267"
10,3,634,192,442,385,0,0,469,0,0,0,"1,295"
10,4,112,132,46,0,198,0,0,0,0,0,244
10,5,"2,388",632,"1,502","1,022",496,0,331,0,56,0,"3,407"
10,6,"3,991","2,371","3,039","2,371",953,0,0,0,0,0,"6,362"
10,7,"14,056","2,849","10,453","3,965","2,488",0,130,264,0,70,"17,369"
10,8,"32,558","7,423","26,589","7,377","6,015",0,153,396,787,169,"41,486"
10,9,"121,769","36,332","93,837","36,254","28,009",0,"4,440","1,892","1,720","1,156","167,309"
10,10,"302,176","167,385","194,036","148,952","126,573","1,278","3,950","5,105","57,513","15,214","552,621"
10,11,"63,696","22,353","43,675","23,878","18,497",350,"1,214",186,"2,244",508,"90,551"
10,12,"16,567","20,916","9,030","3,624","24,829",0,0,0,0,0,"37,483"
10,13,"18,860","16,310","12,219","7,911","15,039",72,621,0,470,0,"36,333"
10,14,"3,897",650,"3,275",913,359,0,0,0,0,0,"4,547"
10,15,519,530,519,0,530,0,0,0,0,0,"1,049"
10,16,"13,171","1,161","12,518","1,255",560,0,0,0,0,0,"14,332"
10,17,187,0,187,0,0,0,0,0,0,0,187
10,18,"1,596",126,"1,376",346,0,0,0,0,0,0,"1,722"
10,19,582,0,394,188,0,0,571,0,93,0,"1,246"
10,20,25,0,25,0,0,0,0,0,0,0,25
10,21,981,0,981,0,0,0,0,0,63,0,"1,044"
10,22,"1,379",88,824,642,0,0,0,0,0,0,"1,467"
10,23,106,0,106,0,0,0,0,0,0,0,106
10,25,136,122,136,0,122,0,0,0,0,0,258
10,26,42,0,42,0,0,0,0,0,0,0,42
10,28,271,0,0,271,0,0,0,0,0,0,271
10,30,910,72,879,103,0,0,0,0,0,0,982
10,31,66,132,0,0,198,0,0,0,0,0,198
10,32,42,0,0,42,0,0,0,0,0,0,42
10,34,488,0,0,276,212,0,0,0,0,0,488
11,1,"1,021",446,885,208,374,0,0,0,59,128,"1,654"
11,2,37,0,37,0,0,0,0,0,0,0,37
11,3,"1,827",0,"1,804",23,0,0,936,0,0,0,"2,763"
11,4,57,0,57,0,0,0,0,0,0,0,57
11,5,"2,614",27,"2,573",0,68,0,815,0,0,0,"3,456"
11,6,"1,817",518,"1,510",511,314,0,142,0,0,0,"2,477"
11,7,"4,862",532,"4,036","1,120",238,0,700,0,0,0,"6,094"
11,8,"14,889","1,120","11,894","3,923",193,0,"2,296",0,655,235,"19,195"
11,9,"64,629","12,743","52,549","14,496","10,326",0,"11,811",425,"1,253",512,"91,373"
11,10,"51,715","24,986","31,117","27,365","18,219",0,"1,517",164,863,"1,667","80,912"
11,11,"180,836","113,539","112,449","82,955","98,971","8,526","19,539","4,756","60,756","3,944","391,896"
11,12,"38,510","21,766","25,304","19,528","15,444",0,"3,092",177,563,177,"64,285"
11,13,"45,375","28,409","22,034","29,003","22,748","10,599","5,008",0,"1,570",93,"91,054"
11,14,"2,652",437,"2,237",741,111,0,922,0,0,0,"4,011"
11,15,"1,684",442,"1,446",680,0,0,0,0,0,0,"2,126"
11,16,"15,400","1,984","13,649","1,788","1,947",0,0,0,0,0,"17,384"
11,17,700,39,525,175,39,0,0,0,0,0,739
11,18,"1,977",236,"1,620",474,120,0,0,0,37,0,"2,250"
11,19,0,182,0,182,0,0,99,0,0,0,281
11,20,360,115,303,0,172,0,0,0,0,0,475
11,21,49,0,49,0,0,0,0,0,0,0,49
11,22,126,0,126,0,0,0,0,0,0,0,126
11,26,0,116,0,116,0,0,0,0,0,0,116
11,27,0,0,0,0,0,0,0,0,45,0,45
11,33,66,0,66,0,0,0,0,0,0,0,66
11,34,48,0,0,48,0,0,0,0,0,0,48
12,1,140,27,140,0,27,0,"1,783",0,0,0,"1,950"
12,2,78,0,78,0,0,0,705,0,0,0,783
12,3,798,43,798,0,43,0,39,0,0,0,880
12,5,"1,175",0,812,41,323,0,0,0,0,0,"1,175"
12,6,"2,354",0,"2,354",0,0,0,0,0,0,0,"2,354"
12,7,"9,579",363,"8,149",827,966,582,0,0,0,0,"10,524"
12,8,"19,898","10,297","13,588","9,118","7,488",0,"2,554",0,0,0,"32,749"
12,9,"122,294","20,428","91,877","38,836","12,008",0,715,190,984,"9,148","153,759"
12,10,"25,622","14,125","17,002","8,822","13,923",49,108,0,188,"6,034","46,126"
12,11,"54,484","33,954","33,063","26,027","29,348",0,374,91,"2,316",531,"91,750"
12,12,"251,243","178,518","157,526","106,290","165,945","4,820","3,573",879,"89,770","26,399","555,202"
12,13,"19,081","13,559","12,164","6,505","13,970",0,"1,792",0,"1,502","6,034","41,968"
12,14,"2,527","1,515","1,696",939,"1,407",0,0,137,"1,153",0,"5,332"
12,15,"1,271",103,"1,271",0,103,0,53,0,0,0,"1,427"
12,16,"15,417","5,031","12,713","2,185","5,549",0,221,0,28,0,"20,697"
12,17,"7,886","3,969","5,549",911,"5,395",0,0,0,0,0,"11,855"
12,18,"1,116",0,"1,116",0,0,0,0,0,0,0,"1,116"
12,19,86,57,29,114,0,0,0,0,0,0,143
